市场状态总览,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
46059,-0.44952815519388234,-0.44952815519388234,6932.3,-0.004877782690331123
46066,-0.13145327120402528,-0.13145327120402528,6836.17,-0.018677113179487392
46073,-0.344348396438934,-0.344348396438934,6909.51,-0.00814925613096218
46080,-0.03794432293336267,-0.03794432293336267,6878.88,-0.01254615088684341
46087,0.6558522131915797,2.840181459847867,6740.02,-0.03247931464138665
46094,0.6650244883259797,2.306845872960404,6632.19,-0.04795816418518928
46101,0.7333357108555606,2.1815253955843836,6506.48,-0.0660036633612201
46108,1.1388631742894386,3.0190803919326785,6368.85,-0.08576026229206968
46115,0.5716720794857358,0.5716720794857358,6582.69,-0.055063821724076534
46122,0.34274681395252604,0.34274681395252604,6782.81,-0.026336868457770723
